#metadataBlock	name	dataverseAlias	displayName	blockURI												
	EngMeta		Engineering Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	engMetaBoundCondPar	Boundary Parameters	Parameters relevant for boundary conditions.		none	70		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaBoundCondParName	Name	Name of the parameter.		text	71	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	engMetaBoundCondPar	EngMeta	
	engMetaBoundCondParSymbol	Symbol	The symbol used to describe this parameter.		text	72	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaBoundCondPar	EngMeta	
	engMetaBoundCondParUnit	Unit	The unit or scale of this parameter.		text	73	[#VALUE]	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaBoundCondPar	EngMeta	https://schema.org/unitCode
	engMetaBoundCondParValue	Value	The value of this parameter.		float	74	: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaBoundCondPar	EngMeta	https://schema.org/value
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	engMetaMode	Simulation	simulation	0												
	engMetaMode	Analysis	analysis	1												
	engMetaMode	Experiment	experiment	2												
	engMetaMode	Prediction	prediction	3												
